                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95592,                 4.5634,                 1.1837,                0.03649,                0.09523,                 0.0229,                0.02133,                0.52668,                 4.2062,                0.87994,             5.9704e-05,             5.9704e-05,             5.9704e-05
                      2,                0.62755,                 3.8458,                 1.0163,                0.10469,                0.15328,                0.05448,                0.04889,                0.52134,                 3.4654,                0.95063,             0.00011918,             0.00011918,             0.00011918
                      3,                0.54996,                 3.1974,                 1.0067,                0.15534,                0.30012,                0.13912,                0.12804,                 0.4495,                 2.6669,                0.91858,             0.00017745,             0.00017745,             0.00017745
                      4,                0.49135,                 2.7349,                0.97345,                0.26236,                0.40719,                0.25991,                0.24161,                0.40415,                 2.3209,                0.88934,             0.00017659,             0.00017659,             0.00017659
                      5,                0.43259,                 2.3905,                0.94196,                0.35805,                0.44634,                0.36765,                0.34861,                0.35355,                 2.0801,                0.86509,             0.00017479,             0.00017479,             0.00017479
                      6,                0.40531,                 2.1596,                0.92831,                0.40599,                 0.4616,                0.42423,                0.40027,                0.33266,                 1.8525,                0.85532,             0.00017299,             0.00017299,             0.00017299
                      7,                0.39072,                 1.9724,                0.91858,                0.41608,                0.49304,                0.46847,                 0.4427,                0.30937,                 1.7576,                0.84642,             0.00017119,             0.00017119,             0.00017119
                      8,                0.38472,                 1.8401,                0.91278,                0.53233,                0.53289,                0.54455,                0.51804,                0.30013,                 1.5069,                0.84244,             0.00016939,             0.00016939,             0.00016939
                      9,                0.36557,                 1.7123,                0.90298,                0.56155,                0.57123,                0.57208,                0.54016,                 0.3311,                 1.4936,                0.85811,             0.00016759,             0.00016759,             0.00016759
                     10,                0.36082,                 1.5977,                0.90218,                0.62115,                 0.5351,                0.59195,                0.56562,                0.29039,                  1.425,                 0.8378,             0.00016578,             0.00016578,             0.00016578
                     11,                0.35133,                 1.5028,                0.89521,                0.64848,                0.55731,                0.60882,                0.57773,                0.28751,                 1.3807,                0.83622,             0.00016398,             0.00016398,             0.00016398
                     12,                0.33922,                 1.4182,                0.89021,                0.66539,                0.55136,                0.62836,                0.59484,                0.27356,                 1.2658,                0.83124,             0.00016218,             0.00016218,             0.00016218
                     13,                0.33663,                  1.359,                0.88869,                0.66854,                0.57502,                0.63681,                0.60239,                0.27412,                  1.256,                0.82864,             0.00016038,             0.00016038,             0.00016038
                     14,                0.32725,                 1.2866,                0.88252,                0.67836,                0.59532,                0.66742,                0.63447,                0.27121,                 1.1682,                0.82705,             0.00015858,             0.00015858,             0.00015858
                     15,                0.32798,                 1.2407,                0.88334,                0.68953,                 0.5949,                0.66394,                0.63358,                 0.2676,                  1.169,                0.82737,             0.00015677,             0.00015677,             0.00015677
                     16,                0.31683,                 1.1843,                0.87642,                0.62992,                0.64203,                0.67371,                0.64175,                0.26474,                 1.1406,                0.82286,             0.00015497,             0.00015497,             0.00015497
                     17,                0.31238,                 1.1561,                0.87807,                0.76459,                0.55403,                0.66489,                0.63837,                0.25865,                 1.1653,                0.82099,             0.00015317,             0.00015317,             0.00015317
                     18,                0.31341,                 1.1182,                0.87415,                0.74725,                0.57907,                0.68919,                0.65951,                0.25496,                  1.055,                0.82278,             0.00015137,             0.00015137,             0.00015137
                     19,                0.30398,                 1.0644,                0.87246,                0.73178,                0.58488,                0.67637,                0.64506,                0.26259,                 1.0768,                0.82515,             0.00014957,             0.00014957,             0.00014957
                     20,                0.30391,                 1.0391,                0.87366,                0.69742,                0.58767,                0.67156,                0.64368,                0.25502,                 1.1291,                0.81905,             0.00014777,             0.00014777,             0.00014777
                     21,                0.30211,                  1.017,                 0.8705,                0.76364,                0.58988,                0.69782,                0.67135,                0.24715,                 1.0664,                0.81934,             0.00014596,             0.00014596,             0.00014596
                     22,                0.29671,                0.99113,                0.86977,                0.69758,                 0.6415,                0.70063,                0.67191,                0.24949,                 1.0475,                 0.8192,             0.00014416,             0.00014416,             0.00014416
                     23,                0.29394,                0.95516,                0.86749,                0.71585,                0.65612,                0.71858,                0.68849,                0.24609,                0.97026,                0.82423,             0.00014236,             0.00014236,             0.00014236
                     24,                0.28974,                0.94321,                0.86499,                0.77845,                0.60326,                0.71698,                0.69045,                0.24361,                0.96493,                0.81992,             0.00014056,             0.00014056,             0.00014056
                     25,                0.28914,                0.91935,                0.86214,                0.72932,                0.62274,                0.69343,                0.66305,                0.24207,                 1.0772,                0.81937,             0.00013876,             0.00013876,             0.00013876
                     26,                0.28664,                0.89748,                0.86243,                0.76692,                 0.5944,                0.70201,                0.67227,                0.24431,                0.98515,                0.81868,             0.00013695,             0.00013695,             0.00013695
                     27,                0.28316,                0.88165,                 0.8599,                0.76872,                0.60665,                 0.6969,                0.67115,                0.23666,                 1.0033,                0.81578,             0.00013515,             0.00013515,             0.00013515
                     28,                0.28234,                0.87607,                0.86192,                 0.7856,                0.61296,                0.71454,                0.68835,                0.23517,                0.98492,                0.81609,             0.00013335,             0.00013335,             0.00013335
                     29,                0.27665,                0.84583,                0.85856,                0.72698,                0.61618,                0.70564,                0.67886,                0.23468,                 1.0059,                0.81095,             0.00013155,             0.00013155,             0.00013155
                     30,                0.28047,                0.84256,                0.85895,                0.76957,                0.60814,                 0.7093,                0.67969,                0.23296,                0.97734,                0.81481,             0.00012975,             0.00012975,             0.00012975
                     31,                0.27183,                0.81441,                0.85303,                0.77619,                0.61086,                0.71529,                0.68858,                0.23097,                0.95699,                0.81346,             0.00012795,             0.00012795,             0.00012795
                     32,                0.27287,                0.80931,                0.85606,                0.77843,                0.63164,                0.72606,                 0.6964,                0.22604,                 1.0173,                0.80998,             0.00012614,             0.00012614,             0.00012614
                     33,                0.26443,                0.78421,                0.85117,                0.76224,                0.62241,                0.71354,                0.68804,                 0.2182,                0.99331,                 0.8097,             0.00012434,             0.00012434,             0.00012434
                     34,                0.26939,                0.78142,                0.85295,                 0.7879,                0.62146,                0.73031,                 0.7018,                0.23074,                0.94661,                0.81165,             0.00012254,             0.00012254,             0.00012254
                     35,                 0.2648,                 0.7774,                 0.8524,                0.75865,                0.62469,                0.71371,                0.68768,                0.22282,                0.95404,                0.81243,             0.00012074,             0.00012074,             0.00012074
                     36,                0.26551,                0.75935,                 0.8524,                0.81024,                 0.5994,                0.71519,                 0.6891,                0.22143,                0.95082,                0.80962,             0.00011894,             0.00011894,             0.00011894
                     37,                0.26083,                0.74208,                0.85005,                0.73289,                0.63816,                 0.7141,                0.68824,                0.21558,                0.96266,                 0.8052,             0.00011714,             0.00011714,             0.00011714
                     38,                0.25781,                0.72846,                0.84983,                0.76973,                0.64181,                0.73004,                 0.7027,                0.22506,                0.95213,                0.80988,             0.00011533,             0.00011533,             0.00011533
                     39,                0.25989,                0.72679,                0.85084,                0.83506,                0.61039,                0.73248,                0.70345,                0.22164,                0.88879,                0.80798,             0.00011353,             0.00011353,             0.00011353
                     40,                0.25687,                 0.7183,                0.84812,                0.81747,                0.62265,                0.73554,                0.70909,                0.21858,                0.90793,                0.81086,             0.00011173,             0.00011173,             0.00011173
                     41,                0.25255,                0.70348,                0.84575,                0.76015,                0.64001,                 0.7188,                0.69202,                0.21282,                0.93735,                 0.8057,             0.00010993,             0.00010993,             0.00010993
                     42,                0.25166,                0.70109,                0.84755,                0.74515,                0.64396,                0.72149,                0.69429,                0.22117,                 0.9553,                0.80932,             0.00010813,             0.00010813,             0.00010813
                     43,                0.24992,                0.69173,                0.84624,                0.75876,                0.64885,                0.73178,                0.70697,                0.20625,                0.89312,                0.80143,             0.00010632,             0.00010632,             0.00010632
                     44,                0.25316,                0.68636,                0.84781,                0.74202,                0.67298,                0.74379,                0.71792,                0.20932,                0.85801,                0.80301,             0.00010452,             0.00010452,             0.00010452
